Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,SOXL,SOXL,SOXL,SOXL,SOXL,SOXL
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
2026-06-22 09:30:00-04:00,742.02001953125,744.4398803710938,740.4299926757812,741.2000122070312,741.2000122070312,4255051,299.260009765625,301.0,290.20001220703125,291.0400085449219,291.0400085449219,10177425
2026-06-22 09:45:00-04:00,741.2100219726562,744.6950073242188,741.1900024414062,744.6950073242188,744.6950073242188,1313455,291.05999755859375,298.9599914550781,291.0,298.1000061035156,298.1000061035156,2174356
2026-06-22 10:00:00-04:00,744.5999755859375,745.4299926757812,743.8099975585938,744.0599975585938,744.0599975585938,1352780,297.94000244140625,301.80499267578125,296.0299987792969,301.4800109863281,301.4800109863281,1915240
2026-06-22 10:15:00-04:00,744.0599975585938,744.1099853515625,740.1500244140625,740.4349975585938,740.4349975585938,1417229,301.5199890136719,302.0,295.5299987792969,296.7124938964844,296.7124938964844,1929613
2026-06-22 10:30:00-04:00,740.489990234375,740.5549926757812,737.030029296875,737.3499755859375,737.3499755859375,1982397,296.8500061035156,298.0,290.0,290.6099853515625,290.6099853515625,2272187
2026-06-22 10:45:00-04:00,737.3200073242188,738.6599731445312,735.3499755859375,737.6694946289062,737.6694946289062,1913521,290.7200012207031,295.7200012207031,289.45001220703125,294.989501953125,294.989501953125,1692846
2026-06-22 11:00:00-04:00,737.7100219726562,738.5900268554688,736.7999877929688,737.364990234375,737.364990234375,1924330,294.6400146484375,297.19781494140625,293.5400085449219,294.1000061035156,294.1000061035156,1099807
2026-06-22 11:15:00-04:00,737.5501098632812,738.0131225585938,736.3099975585938,736.6286010742188,736.6286010742188,1786799,294.31500244140625,296.4470520019531,292.3900146484375,293.55010986328125,293.55010986328125,757934
2026-06-22 11:30:00-04:00,736.630126953125,738.469970703125,736.1799926757812,737.9299926757812,737.9299926757812,843876,293.79998779296875,295.92999267578125,291.5,294.989990234375,294.989990234375,732674
2026-06-22 11:45:00-04:00,737.9000244140625,738.5050048828125,735.3599853515625,735.7376098632812,735.7376098632812,1220160,295.1099853515625,296.24560546875,288.840087890625,289.5487976074219,289.5487976074219,1049926
2026-06-22 12:00:00-04:00,735.739990234375,736.4099731445312,734.3900146484375,736.2899169921875,736.2899169921875,855178,289.54998779296875,291.85260009765625,286.2401123046875,291.1278991699219,291.1278991699219,1119691
2026-06-22 12:15:00-04:00,736.27001953125,737.088623046875,735.5800170898438,736.4000244140625,736.4000244140625,889968,291.3500061035156,294.0,290.0,293.82501220703125,293.82501220703125,741401
2026-06-22 12:30:00-04:00,736.4400024414062,736.4500122070312,734.9099731445312,735.3800048828125,735.3800048828125,940623,293.864990234375,294.0,290.0,290.81500244140625,290.81500244140625,555836
2026-06-22 12:45:00-04:00,735.3900146484375,736.8400268554688,734.8699951171875,736.469970703125,736.469970703125,766659,290.80499267578125,294.9800109863281,288.79998779296875,293.8999938964844,293.8999938964844,776563
2026-06-22 13:00:00-04:00,736.47998046875,736.77001953125,735.1099853515625,735.97998046875,735.97998046875,692874,293.864990234375,294.9100036621094,291.1000061035156,292.8900146484375,292.8900146484375,530934
2026-06-22 13:15:00-04:00,735.989990234375,737.010009765625,735.969970703125,736.6414794921875,736.6414794921875,377946,292.8900146484375,294.8999938964844,292.70001220703125,294.0663146972656,294.0663146972656,501560
2026-06-22 13:30:00-04:00,736.6599731445312,736.8800048828125,735.7650146484375,736.2999877929688,736.2999877929688,364942,294.1499938964844,294.95001220703125,293.0400085449219,293.7799987792969,293.7799987792969,285872
2026-06-22 13:45:00-04:00,736.2999877929688,737.9500122070312,736.1500244140625,737.1199951171875,737.1199951171875,833027,293.79998779296875,296.30999755859375,293.4200134277344,294.5,294.5,550998
2026-06-22 14:00:00-04:00,737.1599731445312,737.6799926757812,736.8099975585938,737.375,737.375,430786,294.489990234375,295.9574890136719,294.20660400390625,294.739990234375,294.739990234375,235762
2026-06-22 14:15:00-04:00,737.4000244140625,738.27001953125,737.14501953125,737.4299926757812,737.4299926757812,725132,294.739990234375,296.2735900878906,294.1200866699219,294.8599853515625,294.8599853515625,379396
2026-06-22 14:30:00-04:00,737.4500122070312,737.909912109375,736.2999877929688,736.3499755859375,736.3499755859375,802427,294.9100036621094,295.7372131347656,291.2499084472656,291.5,291.5,420933
2026-06-22 14:45:00-04:00,736.3699951171875,736.9000244140625,735.5399780273438,735.719970703125,735.719970703125,1046586,291.42999267578125,293.3399963378906,290.9599914550781,291.29998779296875,291.29998779296875,569265
2026-06-22 15:00:00-04:00,735.760009765625,736.6400146484375,735.1282958984375,736.0549926757812,736.0549926757812,952655,291.4700012207031,293.2898864746094,290.38140869140625,292.3999938964844,292.3999938964844,618937
2026-06-22 15:15:00-04:00,736.0800170898438,736.3800048828125,735.4349975585938,735.4735717773438,735.4735717773438,693596,292.5350036621094,292.989990234375,291.0,291.760009765625,291.760009765625,553258
2026-06-22 15:30:00-04:00,735.52001953125,736.5700073242188,735.52001953125,735.7999877929688,735.7999877929688,1767549,291.760009765625,295.44989013671875,291.760009765625,293.8699951171875,293.8699951171875,813355
2026-06-22 15:45:00-04:00,735.7899780273438,738.5,735.760009765625,738.0499877929688,738.0499877929688,3345973,293.989990234375,301.5,293.989990234375,300.80999755859375,300.80999755859375,2195628
2026-06-23 09:30:00-04:00,714.25,717.7999877929688,713.280029296875,716.6900024414062,716.6900024414062,7272170,236.0,243.08999633789062,231.0,235.0695037841797,235.0695037841797,17314105
2026-06-23 09:45:00-04:00,716.5800170898438,720.9000244140625,715.9099731445312,720.6900024414062,720.6900024414062,2818363,235.0800018310547,248.2454071044922,233.0,245.8000030517578,245.8000030517578,4278919
2026-06-23 10:00:00-04:00,720.6900024414062,722.7999877929688,720.6199951171875,722.4749755859375,722.4749755859375,2451603,245.88999938964844,252.9499969482422,244.82000732421875,250.4499969482422,250.4499969482422,3913722
2026-06-23 10:15:00-04:00,722.510009765625,723.6099853515625,721.0,722.0150146484375,722.0150146484375,1730521,250.49000549316406,252.97999572753906,243.30999755859375,245.53500366210938,245.53500366210938,2918585
2026-06-23 10:30:00-04:00,722.0499877929688,722.3599853515625,719.2999877929688,719.6099853515625,719.6099853515625,1517633,245.74560546875,247.10000610351562,238.0,238.5,238.5,2827372
2026-06-23 10:45:00-04:00,719.6400146484375,720.6500244140625,717.8900756835938,718.87158203125,718.87158203125,1618488,238.5,241.9600067138672,234.4300994873047,237.97500610351562,237.97500610351562,2765020
2026-06-23 11:00:00-04:00,718.8800048828125,719.6500244140625,716.719970703125,717.3300170898438,717.3300170898438,1526505,237.9499969482422,240.74000549316406,233.0,233.25,233.25,2037162
2026-06-23 11:15:00-04:00,717.3499755859375,717.6199951171875,715.3900146484375,715.77001953125,715.77001953125,1453579,233.40249633789062,234.25999450683594,231.00999450683594,231.47999572753906,231.47999572753906,2249095
2026-06-23 11:30:00-04:00,715.7000122070312,717.280029296875,715.0900268554688,715.9349975585938,715.9349975585938,1289316,231.52999877929688,236.0,231.1300048828125,231.89500427246094,231.89500427246094,1553577
2026-06-23 11:45:00-04:00,715.969970703125,718.0499877929688,715.6500244140625,717.5313720703125,717.5313720703125,865649,231.89500427246094,236.67999267578125,230.1300048828125,234.73500061035156,234.73500061035156,1935362
2026-06-23 12:00:00-04:00,717.5399780273438,720.2999267578125,717.3300170898438,720.0349731445312,720.0349731445312,1137528,234.79849243164062,243.5399932861328,234.12449645996094,242.3300018310547,242.3300018310547,1990559
2026-06-23 12:15:00-04:00,720.0800170898438,720.280029296875,718.3499755859375,719.3900146484375,719.3900146484375,1295448,242.5,242.67999267578125,235.5500030517578,238.5,238.5,1424124
2026-06-23 12:30:00-04:00,719.4199829101562,720.0399780273438,718.4500122070312,719.9500122070312,719.9500122070312,980141,238.57899475097656,240.83999633789062,235.55999755859375,240.77999877929688,240.77999877929688,722231
2026-06-23 12:45:00-04:00,720.02001953125,720.0698852539062,718.280029296875,719.0449829101562,719.0449829101562,898418,240.77999877929688,240.89999389648438,235.0,236.20799255371094,236.20799255371094,957144
2026-06-23 13:00:00-04:00,719.010009765625,719.4500122070312,717.2899780273438,718.7100219726562,718.7100219726562,1261065,236.3000030517578,238.32989501953125,233.0,236.50100708007812,236.50100708007812,1095709
2026-06-23 13:15:00-04:00,718.72998046875,719.7000122070312,718.010009765625,719.114990234375,719.114990234375,537739,236.66000366210938,239.5,234.63999938964844,237.5399932861328,237.5399932861328,802334
2026-06-23 13:30:00-04:00,719.0999755859375,719.7899780273438,718.1199951171875,718.2100219726562,718.2100219726562,533142,237.60000610351562,237.88999938964844,234.10000610351562,234.22000122070312,234.22000122070312,604718
